#bytes,#repetitions,t[usec],Mbytes/sec
1048576,40,548.86,1910.46
2097152,20,970.13,2161.73
4194304,10,1967.39,2131.92
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,17.18,0.00
1,1000,17.17,0.06
2,1000,17.21,0.12
4,1000,17.19,0.23
8,1000,17.19,0.47
16,1000,17.22,0.93
32,1000,17.24,1.86
64,1000,17.34,3.69
128,1000,17.99,7.12
256,1000,18.12,14.13
512,1000,18.31,27.96
1024,1000,18.77,54.56
2048,1000,41.51,49.34
4096,1000,42.37,96.68
8192,1000,71.91,113.93
16384,1000,50.37,325.27
32768,1000,102.54,319.56
65536,640,113.48,577.49
131072,320,142.55,919.45
262144,160,250.87,1044.93
524288,80,352.04,1489.29
1048576,40,551.26,1902.13
2097152,20,977.86,2144.64
4194304,10,1985.26,2112.72
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,19.03,0.00
1,1000,19.02,0.05
2,1000,19.07,0.10
4,1000,19.10,0.21
8,1000,19.06,0.42
16,1000,19.06,0.84
32,1000,19.06,1.68
64,1000,19.20,3.33
128,1000,20.07,6.38
256,1000,20.28,12.62
512,1000,20.36,25.15
1024,1000,20.78,49.28
2048,1000,43.34,47.26
4096,1000,44.35,92.36
8192,1000,76.09,107.66
16384,1000,54.32,301.60
32768,1000,108.34,302.46
65536,640,114.68,571.45
131072,320,148.01,885.58
262144,160,284.71,920.73
524288,80,389.93,1344.57
1048576,40,616.55,1700.72
2097152,20,1099.72,1906.99
4194304,10,2363.98,1774.25
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.37,0.00
1,1000,15.35,0.07
2,1000,15.54,0.13
4,1000,15.34,0.26
8,1000,15.35,0.52
16,1000,15.35,1.04
32,1000,15.39,2.08
64,1000,15.45,4.14
128,1000,16.04,7.98
256,1000,16.17,15.83
512,1000,16.33,31.35
1024,1000,16.75,61.13
2048,1000,39.98,51.23
4096,1000,40.51,101.11
8192,1000,68.18,120.15
16384,1000,49.02,334.23
32768,1000,98.03,334.25
65536,640,109.41,598.97
131072,320,139.00,942.98
262144,160,222.65,1177.39
524288,80,313.63,1671.66
1048576,40,496.88,2110.30
2097152,20,852.41,2460.25
4194304,10,1631.07,2571.50
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,17.11,0.00
1,1000,17.10,0.06
2,1000,17.03,0.12
4,1000,17.01,0.24
8,1000,17.01,0.47
16,1000,17.49,0.91
32,1000,17.27,1.85
64,1000,17.38,3.68
128,1000,18.02,7.10
256,1000,18.14,14.12
512,1000,18.30,27.98
1024,1000,18.58,55.11
2048,1000,41.47,49.38
4096,1000,42.69,95.95
8192,1000,72.77,112.57
16384,1000,50.20,326.40
32768,1000,99.71,328.65
65536,640,113.52,577.29
131072,320,142.03,922.87
262144,160,251.22,1043.49
524288,80,351.89,1489.91
1048576,40,552.96,1896.29
2097152,20,979.97,2140.02
4194304,10,1977.78,2120.71
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.56,0.00
1,1000,15.56,0.06
2,1000,15.61,0.13
4,1000,15.60,0.26
8,1000,15.61,0.51
16,1000,15.53,1.03
32,1000,15.63,2.05
64,1000,15.71,4.07
128,1000,16.17,7.92
256,1000,16.33,15.68
512,1000,16.42,31.19
1024,1000,16.90,60.59
2048,1000,39.29,52.13
4096,1000,39.88,102.71
8192,1000,71.19,115.07
16384,1000,49.03,334.17
32768,1000,98.79,331.68
65536,640,110.75,591.73
131072,320,140.48,933.03
262144,160,221.42,1183.92
524288,80,312.01,1680.35
1048576,40,494.08,2122.27
2097152,20,849.88,2467.60
4194304,10,1616.00,2595.48
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,18.23,0.00
1,1000,18.23,0.05
2,1000,18.48,0.11
4,1000,18.29,0.22
8,1000,18.25,0.44
16,1000,18.29,0.87
32,1000,18.28,1.75
64,1000,18.41,3.48
128,1000,19.15,6.68
256,1000,19.30,13.26
512,1000,19.39,26.40
1024,1000,19.87,51.54
2048,1000,41.64,49.18
4096,1000,42.97,95.33
8192,1000,75.48,108.53
16384,1000,50.40,325.08
32768,1000,107.04,306.12
65536,640,116.88,560.69
131072,320,145.26,902.35
262144,160,253.71,1033.24
524288,80,352.05,1489.23
1048576,40,555.33,1888.22
2097152,20,983.29,2132.79
4194304,10,2003.31,2093.69
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,17.08,0.00
1,1000,17.11,0.06
2,1000,17.11,0.12
4,1000,17.10,0.23
8,1000,17.23,0.46
16,1000,17.15,0.93
32,1000,17.15,1.87
64,1000,17.25,3.71
128,1000,17.93,7.14
256,1000,18.05,14.18
512,1000,18.27,28.03
1024,1000,18.71,54.73
2048,1000,41.76,49.04
4096,1000,42.33,96.77
8192,1000,71.71,114.24
16384,1000,50.20,326.40
32768,1000,99.19,330.36
65536,640,112.50,582.54
131072,320,141.62,925.53
262144,160,249.93,1048.87
524288,80,358.64,1461.86
1048576,40,572.91,1830.27
2097152,20,1052.59,1992.36
4194304,10,2103.97,1993.52
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.37,0.73
2,1000,1.37,1.46
4,1000,1.37,2.92
8,1000,1.37,5.84
16,1000,1.37,11.67
32,1000,1.40,22.83
64,1000,1.69,37.83
128,1000,1.74,73.72
256,1000,2.01,127.32
512,1000,2.09,245.55
1024,1000,2.32,441.41
2048,1000,3.00,681.68
4096,1000,4.01,1021.63
8192,1000,5.56,1474.13
16384,1000,7.39,2217.79
32768,1000,10.11,3241.97
65536,640,14.55,4503.28
131072,320,23.51,5574.75
262144,160,33.93,7725.12
524288,80,55.82,9392.98
1048576,40,98.81,10611.94
2097152,20,185.20,11323.71
4194304,10,355.04,11813.76
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.37,0.73
2,1000,1.37,1.46
4,1000,1.37,2.91
8,1000,1.37,5.82
16,1000,1.38,11.60
32,1000,1.40,22.82
64,1000,1.69,37.83
128,1000,1.74,73.74
256,1000,2.01,127.65
512,1000,2.09,245.42
1024,1000,2.29,446.51
2048,1000,3.01,681.04
4096,1000,3.93,1042.90
8192,1000,5.53,1480.88
16384,1000,7.35,2229.31
32768,1000,10.13,3235.18
65536,640,14.51,4515.12
131072,320,23.52,5571.61
262144,160,33.21,7893.42
524288,80,56.10,9346.34
1048576,40,98.81,10611.57
2097152,20,185.98,11276.02
4194304,10,355.23,11807.16
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.38,0.00
1,1000,1.37,0.73
2,1000,1.37,1.46
4,1000,1.37,2.91
8,1000,1.37,5.83
16,1000,1.37,11.64
32,1000,1.40,22.83
64,1000,1.70,37.70
128,1000,1.74,73.39
256,1000,2.00,127.74
512,1000,2.09,245.41
1024,1000,2.32,440.83
2048,1000,3.00,683.12
4096,1000,3.91,1046.88
8192,1000,5.51,1486.55
16384,1000,7.29,2247.22
32768,1000,10.18,3220.06
65536,640,14.51,4516.28
131072,320,23.61,5551.58
262144,160,33.93,7726.41
524288,80,55.47,9451.11
1048576,40,98.93,10598.81
2097152,20,186.01,11274.68
4194304,10,355.37,11802.75
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.37,0.73
2,1000,1.37,1.46
4,1000,1.37,2.92
8,1000,1.37,5.84
16,1000,1.38,11.62
32,1000,1.40,22.92
64,1000,1.67,38.39
128,1000,1.71,74.65
256,1000,1.99,128.84
512,1000,2.07,247.71
1024,1000,2.28,448.30
2048,1000,3.00,682.94
4096,1000,3.92,1043.88
8192,1000,5.52,1484.73
16384,1000,7.31,2240.35
32768,1000,10.09,3248.70
65536,640,14.47,4530.48
131072,320,23.49,5580.66
262144,160,33.91,7730.68
524288,80,55.62,9426.64
1048576,40,98.84,10608.74
2097152,20,185.98,11276.04
4194304,10,354.96,11816.43
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.37,0.73
2,1000,1.37,1.46
4,1000,1.37,2.92
8,1000,1.37,5.83
16,1000,1.37,11.64
32,1000,1.40,22.84
64,1000,1.68,38.12
128,1000,1.71,74.65
256,1000,1.99,128.57
512,1000,3.63,141.06
1024,1000,2.30,445.72
2048,1000,2.98,686.85
4096,1000,4.00,1023.49
8192,1000,5.55,1475.52
16384,1000,7.37,2221.83
32768,1000,10.11,3241.70
65536,640,14.55,4504.94
131072,320,23.57,5559.92
262144,160,33.60,7801.78
524288,80,56.15,9336.57
1048576,40,98.82,10611.34
2097152,20,185.41,11311.01
4194304,10,354.99,11815.14
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.38,0.00
1,1000,1.37,0.73
2,1000,1.37,1.46
4,1000,1.38,2.90
8,1000,1.38,5.81
16,1000,1.38,11.61
32,1000,1.41,22.74
64,1000,1.70,37.76
128,1000,1.74,73.52
256,1000,2.01,127.12
512,1000,2.08,245.86
1024,1000,2.32,441.71
2048,1000,3.00,683.02
4096,1000,3.92,1043.91
8192,1000,5.53,1480.36
16384,1000,7.36,2227.19
32768,1000,10.16,3225.73
65536,640,14.54,4508.61
131072,320,23.57,5560.28
262144,160,33.91,7731.56
524288,80,55.82,9392.87
1048576,40,98.81,10611.60
2097152,20,184.85,11345.13
4194304,10,354.56,11829.54
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.38,0.00
1,1000,1.37,0.73
2,1000,1.37,1.46
4,1000,1.37,2.92
8,1000,1.37,5.83
16,1000,1.37,11.64
32,1000,1.41,22.77
64,1000,1.70,37.64
128,1000,1.74,73.74
256,1000,2.00,128.25
512,1000,2.08,245.99
1024,1000,2.29,446.48
2048,1000,3.00,683.72
4096,1000,3.91,1046.83
8192,1000,5.51,1486.25
16384,1000,7.31,2241.80
32768,1000,10.16,3226.74
65536,640,14.48,4525.40
131072,320,23.56,5562.98
262144,160,33.54,7815.20
524288,80,56.96,9203.98
1048576,40,98.82,10610.84
2097152,20,184.73,11352.70
4194304,10,354.52,11831.06
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.38,0.00
1,1000,1.37,0.73
2,1000,1.37,1.46
4,1000,1.37,2.91
8,1000,1.37,5.83
16,1000,1.38,11.62
32,1000,1.41,22.73
64,1000,1.69,37.86
128,1000,1.74,73.65
256,1000,2.02,126.97
512,1000,2.08,246.19
1024,1000,2.32,441.89
2048,1000,2.98,686.87
4096,1000,3.92,1043.92
8192,1000,5.52,1484.23
16384,1000,7.33,2235.52
32768,1000,10.15,3229.56
65536,640,14.54,4506.21
131072,320,23.47,5585.79
262144,160,34.01,7706.89
524288,80,58.13,9019.19
1048576,40,98.92,10600.18
2097152,20,184.83,11346.51
4194304,10,355.78,11788.90
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.38,0.00
1,1000,1.37,0.73
2,1000,1.37,1.46
4,1000,1.37,2.92
8,1000,1.37,5.83
16,1000,1.38,11.64
32,1000,1.40,22.78
64,1000,1.70,37.73
128,1000,1.73,73.86
256,1000,3.54,72.26
512,1000,2.08,246.18
1024,1000,2.34,438.14
2048,1000,3.00,683.80
4096,1000,4.00,1023.11
8192,1000,5.54,1479.57
16384,1000,7.38,2220.03
32768,1000,10.10,3244.62
65536,640,14.55,4505.52
131072,320,23.52,5572.47
262144,160,33.99,7711.92
524288,80,58.13,9019.67
1048576,40,98.81,10611.90
2097152,20,184.71,11353.61
4194304,10,354.69,11825.21
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.38,0.00
1,1000,1.37,0.73
2,1000,1.37,1.46
4,1000,1.37,2.91
8,1000,1.37,5.82
16,1000,1.38,11.60
32,1000,1.40,22.85
64,1000,1.68,38.10
128,1000,1.72,74.37
256,1000,2.01,127.40
512,1000,2.09,244.86
1024,1000,2.31,443.63
2048,1000,3.00,683.72
4096,1000,3.93,1042.92
8192,1000,5.52,1483.92
16384,1000,7.35,2229.57
32768,1000,10.11,3242.13
65536,640,14.51,4516.99
131072,320,23.53,5571.16
262144,160,33.90,7733.84
524288,80,56.62,9259.21
1048576,40,98.80,10612.83
2097152,20,184.77,11350.37
4194304,10,354.74,11823.46
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.08,0.00
1,1000,15.17,0.07
2,1000,15.17,0.13
4,1000,15.19,0.26
8,1000,15.20,0.53
16,1000,15.24,1.05
32,1000,15.28,2.09
64,1000,15.31,4.18
128,1000,15.61,8.20
256,1000,15.72,16.28
512,1000,16.00,32.00
1024,1000,16.42,62.37
2048,1000,38.21,53.60
4096,1000,38.52,106.32
8192,1000,39.55,207.12
16384,1000,41.17,398.01
32768,1000,45.67,717.49
65536,640,147.04,445.70
131072,320,137.85,950.82
262144,160,191.15,1371.41
524288,80,278.48,1882.66
1048576,40,462.02,2269.53
2097152,20,828.03,2532.69
4194304,10,1576.50,2660.52
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.31,0.00
1,1000,15.41,0.06
2,1000,15.43,0.13
4,1000,15.43,0.26
8,1000,15.41,0.52
16,1000,15.47,1.03
32,1000,15.48,2.07
64,1000,15.58,4.11
128,1000,15.83,8.09
256,1000,16.00,16.00
512,1000,16.25,31.50
1024,1000,16.72,61.24
2048,1000,38.20,53.61
4096,1000,38.55,106.24
8192,1000,39.70,206.33
16384,1000,41.59,393.99
32768,1000,48.28,678.66
65536,640,147.12,445.47
131072,320,153.77,852.37
262144,160,193.11,1357.45
524288,80,281.96,1859.47
1048576,40,466.10,2249.70
2097152,20,830.79,2524.27
4194304,10,1584.65,2646.83
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.60,0.00
1,1000,15.65,0.06
2,1000,15.62,0.13
4,1000,15.63,0.26
8,1000,15.64,0.51
16,1000,15.64,1.02
32,1000,15.67,2.04
64,1000,15.73,4.07
128,1000,16.16,7.92
256,1000,16.21,15.79
512,1000,16.40,31.21
1024,1000,16.83,60.84
2048,1000,38.33,53.44
4096,1000,38.80,105.56
8192,1000,39.90,205.33
16384,1000,41.62,393.66
32768,1000,48.98,668.98
65536,640,147.97,442.91
131072,320,174.92,749.31
262144,160,213.86,1225.79
524288,80,327.66,1600.11
1048576,40,526.13,1993.01
2097152,20,946.71,2215.20
4194304,10,1951.40,2149.38
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.27,0.00
1,1000,15.31,0.07
2,1000,15.31,0.13
4,1000,15.30,0.26
8,1000,15.34,0.52
16,1000,15.35,1.04
32,1000,15.37,2.08
64,1000,15.42,4.15
128,1000,15.81,8.10
256,1000,15.88,16.12
512,1000,16.09,31.82
1024,1000,16.50,62.07
2048,1000,38.25,53.54
4096,1000,38.53,106.31
8192,1000,39.46,207.61
16384,1000,41.31,396.63
32768,1000,45.48,720.54
65536,640,147.17,445.31
131072,320,173.83,754.01
262144,160,208.81,1255.40
524288,80,319.61,1640.38
1048576,40,521.29,2011.50
2097152,20,944.63,2220.08
4194304,10,1950.40,2150.48
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.96,0.00
1,1000,15.94,0.06
2,1000,15.95,0.13
4,1000,15.94,0.25
8,1000,15.98,0.50
16,1000,15.99,1.00
32,1000,16.02,2.00
64,1000,16.11,3.97
128,1000,16.56,7.73
256,1000,16.53,15.48
512,1000,16.82,30.43
1024,1000,17.26,59.34
2048,1000,38.94,52.59
4096,1000,39.38,104.01
8192,1000,40.31,203.24
16384,1000,42.07,389.44
32768,1000,49.42,663.03
65536,640,147.13,445.44
131072,320,160.02,819.12
262144,160,214.58,1221.64
524288,80,320.58,1635.46
1048576,40,530.72,1975.78
2097152,20,958.87,2187.11
4194304,10,1953.31,2147.28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.39,0.00
1,1000,15.39,0.06
2,1000,15.39,0.13
4,1000,15.37,0.26
8,1000,15.38,0.52
16,1000,15.42,1.04
32,1000,15.47,2.07
64,1000,15.52,4.12
128,1000,15.82,8.09
256,1000,15.97,16.03
512,1000,16.26,31.49
1024,1000,16.68,61.39
2048,1000,38.68,52.95
4096,1000,38.82,105.50
8192,1000,39.86,205.51
16384,1000,41.56,394.25
32768,1000,48.43,676.66
65536,640,147.12,445.46
131072,320,140.62,932.09
262144,160,191.79,1366.86
524288,80,281.80,1860.53
1048576,40,465.90,2250.63
2097152,20,830.33,2525.68
4194304,10,1605.60,2612.30
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.16,0.00
1,1000,15.27,0.07
2,1000,15.36,0.13
4,1000,15.24,0.26
8,1000,15.25,0.52
16,1000,15.32,1.04
32,1000,15.33,2.09
64,1000,15.41,4.15
128,1000,15.78,8.11
256,1000,15.80,16.20
512,1000,16.04,31.92
1024,1000,16.51,62.03
2048,1000,38.16,53.66
4096,1000,38.70,105.83
8192,1000,39.23,208.83
16384,1000,41.10,398.67
32768,1000,45.74,716.43
65536,640,147.01,445.80
131072,320,155.92,840.62
262144,160,209.13,1253.51
524288,80,315.53,1661.63
1048576,40,525.64,1994.86
2097152,20,936.74,2238.78
4194304,10,1941.25,2160.62
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.30,0.00
1,1000,15.38,0.07
2,1000,15.39,0.13
4,1000,15.41,0.26
8,1000,15.42,0.52
16,1000,15.47,1.03
32,1000,15.49,2.07
64,1000,15.54,4.12
128,1000,15.78,8.11
256,1000,15.96,16.04
512,1000,16.28,31.45
1024,1000,16.64,61.53
2048,1000,38.66,52.97
4096,1000,38.90,105.31
8192,1000,39.87,205.49
16384,1000,41.63,393.56
32768,1000,48.83,671.13
65536,640,147.04,445.69
131072,320,140.70,931.59
262144,160,190.92,1373.06
524288,80,281.73,1860.94
1048576,40,466.22,2249.12
2097152,20,829.80,2527.29
4194304,10,1590.51,2637.08
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.07,0.00
1,1000,15.16,0.07
2,1000,15.15,0.13
4,1000,15.15,0.26
8,1000,15.15,0.53
16,1000,15.17,1.05
32,1000,15.22,2.10
64,1000,15.33,4.17
128,1000,15.58,8.21
256,1000,15.66,16.35
512,1000,15.96,32.07
1024,1000,16.41,62.41
2048,1000,38.19,53.63
4096,1000,38.67,105.92
8192,1000,39.20,209.01
16384,1000,41.11,398.50
32768,1000,45.47,720.58
65536,640,147.05,445.67
131072,320,137.88,950.59
262144,160,193.83,1352.41
524288,80,278.19,1884.62
1048576,40,462.25,2268.41
2097152,20,827.51,2534.31
4194304,10,1580.05,2654.54
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.19,0.00
1,1000,15.27,0.07
2,1000,15.28,0.13
4,1000,15.22,0.26
8,1000,15.24,0.52
16,1000,15.28,1.05
32,1000,15.31,2.09
64,1000,15.39,4.16
128,1000,15.77,8.11
256,1000,15.78,16.22
512,1000,16.04,31.92
1024,1000,16.46,62.20
2048,1000,38.27,53.52
4096,1000,38.69,105.88
8192,1000,39.32,208.32
16384,1000,41.10,398.61
32768,1000,45.51,720.01
65536,640,147.04,445.71
131072,320,152.01,862.25
262144,160,213.17,1229.72
524288,80,319.71,1639.87
1048576,40,526.07,1993.21
2097152,20,937.87,2236.09
4194304,10,1946.45,2154.85
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.22,4.52
2,1000,0.22,9.10
4,1000,0.22,18.17
8,1000,0.23,34.29
16,1000,0.22,71.80
32,1000,0.26,123.00
64,1000,0.25,252.21
128,1000,0.36,359.85
256,1000,0.38,674.26
512,1000,0.46,1109.28
1024,1000,0.58,1772.03
2048,1000,0.78,2618.02
4096,1000,1.16,3540.38
8192,1000,1.92,4262.27
16384,1000,3.01,5440.54
32768,1000,4.84,6768.61
65536,640,8.20,7995.77
131072,320,14.73,8898.53
262144,160,13.90,18859.00
524288,80,24.92,21034.93
1048576,40,58.75,17849.25
2097152,20,157.76,13293.40
4194304,10,327.16,12820.28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.22,4.55
2,1000,0.23,8.82
4,1000,0.22,18.52
8,1000,0.22,36.75
16,1000,0.22,71.93
32,1000,0.26,123.89
64,1000,0.26,249.63
128,1000,0.35,361.29
256,1000,0.38,669.98
512,1000,0.46,1111.04
1024,1000,0.59,1749.37
2048,1000,0.78,2617.89
4096,1000,1.16,3535.45
8192,1000,1.92,4257.90
16384,1000,3.00,5460.77
32768,1000,4.82,6797.91
65536,640,8.17,8022.55
131072,320,14.75,8886.12
262144,160,13.85,18923.13
524288,80,25.04,20935.46
1048576,40,58.65,17879.51
2097152,20,157.00,13357.95
4194304,10,327.51,12806.72
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.22,4.59
2,1000,0.22,9.12
4,1000,0.22,17.99
8,1000,0.22,37.15
16,1000,0.22,73.53
32,1000,0.26,125.02
64,1000,0.26,247.15
128,1000,0.36,351.78
256,1000,0.39,651.38
512,1000,0.47,1081.42
1024,1000,0.57,1809.20
2048,1000,0.78,2611.90
4096,1000,1.16,3541.64
8192,1000,1.92,4261.32
16384,1000,2.99,5473.46
32768,1000,4.81,6813.62
65536,640,8.14,8055.25
131072,320,14.70,8913.77
262144,160,13.96,18777.98
524288,80,24.80,21142.40
1048576,40,58.46,17936.84
2097152,20,154.87,13541.47
4194304,10,334.80,12527.92
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.22,4.51
2,1000,0.23,8.54
4,1000,0.22,18.05
8,1000,0.22,35.91
16,1000,0.22,71.73
32,1000,0.26,124.79
64,1000,0.26,249.79
128,1000,0.36,354.41
256,1000,0.38,668.49
512,1000,0.46,1114.96
1024,1000,0.57,1791.90
2048,1000,0.78,2616.73
4096,1000,1.16,3542.72
8192,1000,1.92,4263.50
16384,1000,3.00,5456.14
32768,1000,4.83,6788.71
65536,640,8.17,8016.94
131072,320,14.73,8899.46
262144,160,13.86,18912.33
524288,80,25.02,20957.66
1048576,40,58.01,18076.60
2097152,20,158.27,13250.48
4194304,10,337.71,12419.79
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.22,4.48
2,1000,0.23,8.54
4,1000,0.22,17.92
8,1000,0.23,35.50
16,1000,0.22,72.31
32,1000,0.26,124.92
64,1000,0.25,253.32
